"Value","time","itemNo.","Comments","is.hor","time_category","sid"
"ver","year",25,"hor;ver",0,"long",1
"ver","month",21,"hor;ver",0,"long",1
"ver","week",17,"hor;ver",0,"long",1
"ver","hour",12,"hor;ver",0,"short",1
"ver","century",31,"ver;hor",0,"long",1
"ver","day",14,"hor;ver",0,"short",1
"ver","hour",10,"ver;hor",0,"short",1
"ver","second",4,"ver;hor",0,"short",1
"ver","hour",9,"hor;ver",0,"short",1
"hor","week",18,"ver;hor",1,"long",1
"ver","minute",5,"ver;hor",0,"short",1
"ver","minute",6,"hor;ver",0,"short",1
"ver","century",29,"ver;hor",0,"long",1
"ver","month",23,"hor;ver",0,"long",1
"ver","month",24,"hor;ver",0,"long",1
"ver","second",3,"hor;ver",0,"short",1
"ver","year",26,"hor;ver",0,"long",1
"hor","day",16,"hor;ver",1,"short",1
"hor","day",15,"ver;hor",1,"short",1
"ver","second",1,"hor;ver",0,"short",1
"ver","week",19,"ver;hor",0,"long",1
"ver","week",20,"hor;ver",0,"long",1
"ver","second",2,"hor;ver",0,"short",1
"ver","month",22,"ver;hor",0,"long",1
"hor","hour",11,"hor;ver",1,"short",1
"ver","century",30,"hor;ver",0,"long",1
"hor","minute",7,"hor;ver",1,"short",1
"hor","year",28,"ver;hor",1,"long",1
"ver","minute",8,"ver;hor",0,"short",1
"ver","year",27,"ver;hor",0,"long",1
"ver","day",13,"hor;ver",0,"short",1
"ver","century",32,"hor;ver",0,"long",1
"ver","century",32,"hor;ver",0,"long",2
"hor","second",3,"hor;ver",1,"short",2
"ver","month",23,"ver;hor",0,"long",2
"ver","hour",10,"hor;ver",0,"short",2
"hor","day",14,"hor;ver",1,"short",2
"hor","day",16,"hor;ver",1,"short",2
"ver","week",17,"ver;hor",0,"long",2
"hor","hour",11,"hor;ver",1,"short",2
"hor","second",4,"ver;hor",1,"short",2
"hor","day",13,"ver;hor",1,"short",2
"ver","year",25,"ver;hor",0,"long",2
"ver","year",26,"hor;ver",0,"long",2
"ver","century",31,"ver;hor",0,"long",2
"hor","week",19,"ver;hor",1,"long",2
"hor","day",15,"hor;ver",1,"short",2
"hor","year",28,"ver;hor",1,"long",2
"ver","century",29,"ver;hor",0,"long",2
"ver","hour",9,"hor;ver",0,"short",2
"hor","year",27,"hor;ver",1,"long",2
"ver","minute",5,"hor;ver",0,"short",2
"ver","month",22,"hor;ver",0,"long",2
"ver","second",2,"hor;ver",0,"short",2
"hor","hour",12,"ver;hor",1,"short",2
"ver","month",24,"ver;hor",0,"long",2
"ver","minute",6,"ver;hor",0,"short",2
"hor","minute",8,"ver;hor",1,"short",2
"ver","second",1,"hor;ver",0,"short",2
"hor","week",20,"ver;hor",1,"long",2
"ver","century",30,"ver;hor",0,"long",2
"hor","minute",7,"ver;hor",1,"short",2
"ver","month",21,"hor;ver",0,"long",2
"ver","week",18,"hor;ver",0,"long",2
"ver","second",4,"hor;ver",0,"short",3
"ver","century",31,"hor;ver",0,"long",3
"ver","year",27,"hor;ver",0,"long",3
"hor","day",16,"ver;hor",1,"short",3
"hor","day",13,"hor;ver",1,"short",3
"hor","minute",8,"ver;hor",1,"short",3
"ver","hour",10,"hor;ver",0,"short",3
"ver","month",24,"ver;hor",0,"long",3
"ver","century",30,"ver;hor",0,"long",3
"ver","year",26,"ver;hor",0,"long",3
"ver","month",23,"ver;hor",0,"long",3
"ver","second",2,"hor;ver",0,"short",3
"ver","minute",6,"ver;hor",0,"short",3
"ver","month",22,"hor;ver",0,"long",3
"hor","hour",11,"ver;hor",1,"short",3
"hor","week",19,"ver;hor",1,"long",3
"ver","minute",5,"hor;ver",0,"short",3
"hor","day",14,"hor;ver",1,"short",3
"ver","week",20,"hor;ver",0,"long",3
"hor","year",28,"hor;ver",1,"long",3
"hor","hour",12,"hor;ver",1,"short",3
"ver","century",29,"ver;hor",0,"long",3
"ver","second",1,"hor;ver",0,"short",3
"ver","hour",9,"ver;hor",0,"short",3
"ver","century",32,"ver;hor",0,"long",3
"ver","week",18,"ver;hor",0,"long",3
"ver","month",21,"hor;ver",0,"long",3
"hor","minute",7,"ver;hor",1,"short",3
"hor","second",3,"ver;hor",1,"short",3
"hor","year",25,"hor;ver",1,"long",3
"ver","week",17,"hor;ver",0,"long",3
"hor","day",15,"hor;ver",1,"short",3
"hor","century",31,"hor;ver",1,"long",4
"ver","week",19,"ver;hor",0,"long",4
"hor","hour",12,"ver;hor",1,"short",4
"ver","year",26,"hor;ver",0,"long",4
"ver","second",4,"hor;ver",0,"short",4
"ver","month",23,"hor;ver",0,"long",4
"ver","hour",10,"hor;ver",0,"short",4
"hor","day",15,"hor;ver",1,"short",4
"ver","minute",8,"hor;ver",0,"short",4
"ver","week",17,"hor;ver",0,"long",4
"ver","month",22,"hor;ver",0,"long",4
"ver","week",18,"hor;ver",0,"long",4
"hor","century",32,"ver;hor",1,"long",4
"ver","century",29,"hor;ver",0,"long",4
"ver","month",21,"hor;ver",0,"long",4
"ver","hour",9,"ver;hor",0,"short",4
"ver","month",24,"hor;ver",0,"long",4
"hor","second",3,"ver;hor",1,"short",4
"ver","year",25,"hor;ver",0,"long",4
"ver","minute",7,"ver;hor",0,"short",4
"ver","century",30,"ver;hor",0,"long",4
"hor","hour",11,"hor;ver",1,"short",4
"ver","second",1,"hor;ver",0,"short",4
"ver","day",16,"ver;hor",0,"short",4
"hor","day",13,"hor;ver",1,"short",4
"ver","year",28,"ver;hor",0,"long",4
"ver","second",2,"hor;ver",0,"short",4
"ver","minute",6,"ver;hor",0,"short",4
"ver","minute",5,"hor;ver",0,"short",4
"hor","year",27,"hor;ver",1,"long",4
"hor","day",14,"hor;ver",1,"short",4
"ver","week",20,"ver;hor",0,"long",4
"ver","minute",8,"hor;ver",0,"short",5
"ver","month",24,"hor;ver",0,"long",5
"ver","week",19,"hor;ver",0,"long",5
"ver","month",21,"ver;hor",0,"long",5
"ver","century",29,"hor;ver",0,"long",5
"hor","day",14,"ver;hor",1,"short",5
"ver","hour",11,"ver;hor",0,"short",5
"ver","week",18,"hor;ver",0,"long",5
"ver","hour",10,"hor;ver",0,"short",5
"ver","second",2,"ver;hor",0,"short",5
"ver","year",25,"hor;ver",0,"long",5
"ver","year",26,"ver;hor",0,"long",5
"hor","year",28,"ver;hor",1,"long",5
"ver","month",22,"ver;hor",0,"long",5
"ver","week",17,"ver;hor",0,"long",5
"hor","day",16,"hor;ver",1,"short",5
"hor","day",13,"ver;hor",1,"short",5
"ver","minute",5,"hor;ver",0,"short",5
"hor","day",15,"ver;hor",1,"short",5
"ver","minute",6,"ver;hor",0,"short",5
"ver","century",31,"hor;ver",0,"long",5
"ver","second",3,"ver;hor",0,"short",5
"hor","minute",7,"hor;ver",1,"short",5
"hor","hour",9,"hor;ver",1,"short",5
"ver","century",32,"hor;ver",0,"long",5
"hor","hour",12,"ver;hor",1,"short",5
"hor","second",1,"ver;hor",1,"short",5
"ver","century",30,"hor;ver",0,"long",5
