"Value","space","time","itemNo","RT","sid"
"j","ver","century",32,5008,1
"f","hor","day",13,3379,1
"j","ver","day",16,4212,1
"f","hor","hour",9,4404,1
"f","ver","week",19,2714,1
"f","hor","hour",10,3311,1
"f","ver","second",3,3273,1
"f","hor","year",26,2620,1
"f","ver","year",28,6119,1
"f","ver","hour",11,2578,1
"f","ver","week",20,2095,1
"f","hor","month",22,2126,1
"f","hor","week",17,2756,1
"j","ver","second",4,4992,1
"f","ver","hour",12,8610,1
"j","hor","minute",6,5912,1
"j","hor","day",14,2885,1
"f","ver","century",31,2687,1
"f","hor","year",25,2627,1
"f","hor","century",29,9145,1
"f","ver","minute",8,2992,1
"f","ver","day",15,2054,1
"f","ver","month",24,3983,1
"f","hor","century",30,1849,1
"f","hor","month",21,3635,1
"f","ver","year",27,2527,1
"f","ver","minute",7,1678,1
"f","hor","second",1,2281,1
"j","hor","minute",5,2533,1
"f","hor","week",18,2348,1
"f","hor","second",2,2468,1
"f","ver","month",23,1823,1
"j","ver","century",32,3230,2
"j","ver","second",4,5871,2
"j","hor","minute",5,2655,2
"f","ver","year",27,13298,2
"f","hor","century",29,2984,2
"f","hor","hour",9,1666,2
"j","hor","month",21,5504,2
"f","hor","hour",10,1571,2
"f","hor","second",1,2383,2
"j","ver","hour",11,3124,2
"f","hor","month",22,1607,2
"j","hor","minute",6,2132,2
"f","ver","day",15,1511,2
"f","hor","year",26,1554,2
"f","ver","month",24,2207,2
"f","ver","minute",7,2068,2
"f","ver","week",19,1385,2
"f","ver","century",31,1952,2
"f","ver","month",23,1448,2
"f","hor","week",17,3039,2
"f","hor","century",30,4630,2
"j","hor","day",14,1739,2
"f","ver","week",20,4320,2
"j","hor","day",13,1836,2
"f","ver","year",28,1847,2
"f","hor","second",2,1848,2
"f","ver","day",16,1507,2
"f","hor","week",18,1425,2
"f","ver","minute",8,1875,2
"f","ver","hour",12,85,2
"f","hor","year",25,1654,2
"f","ver","second",3,4520,2
"j","hor","day",14,2699,3
"f","hor","year",26,3753,3
"f","ver","minute",8,4045,3
"j","ver","day",16,3005,3
"f","hor","second",1,2915,3
"f","hor","month",22,1675,3
